driverRef,grid,positionOrder,constructorRef,circuitRef
hamilton,1,19,mercedes,albert_park
hamilton,1,1,mercedes,albert_park
hamilton,1,2,mercedes,albert_park
hamilton,1,2,mercedes,albert_park
hamilton,1,2,mercedes,albert_park
hamilton,1,2,mercedes,albert_park
rosberg,3,1,mercedes,albert_park
rosberg,2,2,mercedes,albert_park
rosberg,2,1,mercedes,albert_park
bottas,3,3,mercedes,albert_park
bottas,15,8,mercedes,albert_park
bottas,2,1,mercedes,albert_park
alonso,5,4,ferrari,albert_park
raikkonen,11,7,ferrari,albert_park
raikkonen,5,12,ferrari,albert_park
raikkonen,4,18,ferrari,albert_park
raikkonen,4,4,ferrari,albert_park
raikkonen,2,3,ferrari,albert_park
vettel,4,3,ferrari,albert_park
vettel,3,3,ferrari,albert_park
vettel,2,1,ferrari,albert_park
vettel,3,1,ferrari,albert_park
vettel,3,4,ferrari,albert_park
leclerc,5,5,ferrari,albert_park
alonso,11,21,mclaren,albert_park
alonso,12,14,mclaren,albert_park
alonso,10,5,mclaren,albert_park
button,10,3,mclaren,albert_park
button,16,11,mclaren,albert_park
button,12,14,mclaren,albert_park
kevin_magnussen,4,2,mclaren,albert_park
kevin_magnussen,17,17,mclaren,albert_park
sainz,18,20,mclaren,albert_park
vandoorne,18,13,mclaren,albert_park
vandoorne,11,9,mclaren,albert_park
norris,8,12,mclaren,albert_park
raikkonen,9,8,alfa,albert_park
giovinazzi,14,15,alfa,albert_park
kubica,20,17,williams,albert_park
massa,9,20,williams,albert_park
massa,3,4,williams,albert_park
massa,6,5,williams,albert_park
massa,7,6,williams,albert_park
bottas,15,5,williams,albert_park
bottas,20,18,williams,albert_park
bottas,16,8,williams,albert_park
stroll,20,16,williams,albert_park
stroll,13,14,williams,albert_park
sirotkin,19,20,williams,albert_park
russell,19,16,williams,albert_park
sutil,13,11,sauber,albert_park
gutierrez,20,12,sauber,albert_park
ericsson,15,8,sauber,albert_park
ericsson,15,17,sauber,albert_park
ericsson,14,18,sauber,albert_park
ericsson,17,19,sauber,albert_park
nasr,10,5,sauber,albert_park
nasr,17,15,sauber,albert_park
giovinazzi,16,12,sauber,albert_park
leclerc,18,13,sauber,albert_park
vettel,12,18,red_bull,albert_park
ricciardo,2,22,red_bull,albert_park
ricciardo,6,6,red_bull,albert_park
ricciardo,8,4,red_bull,albert_park
ricciardo,20,17,red_bull,albert_park
ricciardo,8,4,red_bull,albert_park
kvyat,12,16,red_bull,albert_park
kvyat,18,22,red_bull,albert_park
max_verstappen,5,5,red_bull,albert_park
max_verstappen,4,6,red_bull,albert_park
max_verstappen,4,3,red_bull,albert_park
gasly,17,11,red_bull,albert_park
grosjean,22,15,lotus_f1,albert_park
grosjean,8,14,lotus_f1,albert_park
maldonado,21,16,lotus_f1,albert_park
maldonado,9,15,lotus_f1,albert_park
grosjean,19,6,haas,albert_park
grosjean,6,20,haas,albert_park
grosjean,6,16,haas,albert_park
grosjean,6,18,haas,albert_park
gutierrez,20,20,haas,albert_park
kevin_magnussen,17,15,haas,albert_park
kevin_magnussen,5,17,haas,albert_park
kevin_magnussen,7,6,haas,albert_park
kobayashi,14,21,caterham,albert_park
ericsson,19,17,caterham,albert_park
hulkenberg,7,6,force_india,albert_park
hulkenberg,13,7,force_india,albert_park
hulkenberg,10,7,force_india,albert_park
perez,16,10,force_india,albert_park
perez,14,10,force_india,albert_park
perez,9,13,force_india,albert_park
perez,10,7,force_india,albert_park
perez,12,11,force_india,albert_park
ocon,13,10,force_india,albert_park
ocon,14,12,force_india,albert_park
hulkenberg,11,11,renault,albert_park
hulkenberg,7,7,renault,albert_park
hulkenberg,11,7,renault,albert_park
ricciardo,12,19,renault,albert_park
kevin_magnussen,14,12,renault,albert_park
sainz,9,10,renault,albert_park
jolyon_palmer,13,11,renault,albert_park
jolyon_palmer,19,19,renault,albert_park
perez,10,13,racing_point,albert_park
stroll,16,9,racing_point,albert_park
vergne,6,8,toro_rosso,albert_park
kvyat,8,9,toro_rosso,albert_park
kvyat,9,9,toro_rosso,albert_park
kvyat,15,10,toro_rosso,albert_park
max_verstappen,11,13,toro_rosso,albert_park
max_verstappen,5,10,toro_rosso,albert_park
sainz,7,9,toro_rosso,albert_park
sainz,7,9,toro_rosso,albert_park
sainz,8,8,toro_rosso,albert_park
gasly,20,18,toro_rosso,albert_park
brendon_hartley,16,15,toro_rosso,albert_park
albon,13,14,toro_rosso,albert_park
chilton,17,13,marussia,albert_park
jules_bianchi,18,14,marussia,albert_park
wehrlein,21,16,manor,albert_park
haryanto,22,19,manor,albert_park
hamilton,1,1,mercedes,sepang
hamilton,1,2,mercedes,sepang
hamilton,1,18,mercedes,sepang
hamilton,1,2,mercedes,sepang
rosberg,3,2,mercedes,sepang
rosberg,3,3,mercedes,sepang
rosberg,2,3,mercedes,sepang
bottas,5,5,mercedes,sepang
alonso,4,4,ferrari,sepang
raikkonen,6,12,ferrari,sepang
raikkonen,11,4,ferrari,sepang
raikkonen,6,4,ferrari,sepang
raikkonen,20,20,ferrari,sepang
vettel,2,1,ferrari,sepang
vettel,5,22,ferrari,sepang
vettel,20,4,ferrari,sepang
alonso,18,18,mclaren,sepang
alonso,22,7,mclaren,sepang
alonso,10,11,mclaren,sepang
button,10,6,mclaren,sepang
button,17,17,mclaren,sepang
button,9,9,mclaren,sepang
kevin_magnussen,8,9,mclaren,sepang
vandoorne,7,7,mclaren,sepang
massa,13,7,williams,sepang
massa,7,6,williams,sepang
massa,10,13,williams,sepang
massa,11,9,williams,sepang
bottas,18,8,williams,sepang
bottas,8,5,williams,sepang
bottas,11,5,williams,sepang
stroll,13,8,williams,sepang
sutil,17,18,sauber,sepang
gutierrez,12,17,sauber,sepang
ericsson,9,19,sauber,sepang
ericsson,17,12,sauber,sepang
ericsson,19,18,sauber,sepang
nasr,16,12,sauber,sepang
